,type,model,window,size,count,acc,loss,val_acc,val_loss
148,MORPHEME,fastText,10,50,20,0.752939236,0.779089378,0.773186656,0.728116434
149,MORPHEME,word2vec,7,300,10,0.594005216,1.348040553,0.771926316,0.908572158
150,MORPHEME,fastText,2,50,50,0.687212797,1.035263297,0.771766017,0.929092996
151,MORPHEME,word2vec,5,500,50,0.935856667,0.158161827,0.77143,0.604301571
152,MORPHEME,word2vec,2,1000,20,0.774267571,0.830266158,0.771422294,0.787105646
153,MORPHEME,word2vec,5,100,10,0.754717586,0.754235519,0.771263503,0.747226123
154,MORPHEME,word2vec,5,500,100,0.948263333,0.127609324,0.77112,0.675333222
155,MORPHEME,glove,10,500,50,0.777453056,0.760204391,0.770759834,0.725921392
156,MORPHEME,fastText,2,100,10,0.712071389,1.099968528,0.770495734,0.97439359
157,MORPHEME,word2vec,2,500,20,0.93469,0.159781461,0.77017,0.599981312
158,MORPHEME,word2vec,5,1000,100,0.7996894,0.788567874,0.770043014,0.873233676
159,MORPHEME,fastText,10,50,50,0.674869417,1.024405446,0.769565672,0.839023434
160,MORPHEME,glove,2,300,10,0.492017549,0.954084702,0.769438541,0.732746448
161,MORPHEME,word2vec,2,100,10,0.646830868,1.020104579,0.769201722,0.289925593
162,MORPHEME,word2vec,5,50,10,0.759243202,0.769898424,0.769065877,0.584249234
163,MORPHEME,glove,7,500,20,0.865413333,0.488796504,0.76894,0.750776591
164,MORPHEME,word2vec,10,500,20,0.946073333,0.133918864,0.76868,0.680225639
165,MORPHEME,fastText,7,50,10,0.677370543,1.002019056,0.76801975,0.849516909
166,MORPHEME,word2vec,7,500,100,0.775969686,0.768156846,0.767825944,0.806193506
167,MORPHEME,word2vec,10,50,10,0.770479876,0.757895091,0.767190143,0.762107252
168,MORPHEME,word2vec,2,1000,10,0.745340312,0.764049605,0.766473713,0.589159772
169,MORPHEME,glove,10,1000,20,0.772651795,0.741274946,0.766321413,0.726116642
170,MORPHEME,word2vec,2,1000,50,0.595156492,1.514566186,0.766214526,0.850488342
171,MORPHEME,glove,7,1000,100,0.524939535,0.980266381,0.765395383,0.698647054
172,MORPHEME,word2vec,7,50,10,0.91567152,0.295259093,0.764867267,0.707389432
173,MORPHEME,word2vec,10,100,10,0.641981242,1.255494083,0.763724624,1.087746499
174,MORPHEME,glove,10,500,20,0.928966667,0.484133022,0.76345,0.772134071
175,MORPHEME,word2vec,7,1000,100,0.59647743,1.472881128,0.763294125,0.883023626
176,MORPHEME,fastText,5,100,50,0.755158044,0.778473347,0.762916373,0.807236448
177,MORPHEME,word2vec,7,300,20,0.7583828,0.751617665,0.762596501,0.790438776
178,MORPHEME,word2vec,5,50,20,0.858606667,0.459866352,0.76232,0.676000401
179,MORPHEME,fastText,10,50,10,0.670422454,1.021042674,0.762293949,0.827922512
180,MORPHEME,word2vec,5,300,10,0.748486758,0.760007713,0.761457593,0.741192345
181,MORPHEME,word2vec,7,100,20,0.757869988,0.761818521,0.761110909,0.785932696
182,MORPHEME,word2vec,10,500,100,0.76502132,0.773877097,0.760766185,0.849908313
183,MORPHEME,fastText,5,50,20,0.83747,0.513967989,0.76072,0.651385561
184,MORPHEME,word2vec,2,100,50,0.649208836,1.030517204,0.759511457,0.343314098
185,MORPHEME,glove,5,500,50,0.919853333,0.49582476,0.75932,0.749013284
186,MORPHEME,word2vec,7,50,50,0.89475715,0.289984914,0.758801872,0.692594426
187,MORPHEME,word2vec,2,1000,20,0.859656667,0.508834383,0.7581,1.054073843
188,MORPHEME,word2vec,2,500,50,0.755957917,0.806865955,0.757579446,0.781642523
189,MORPHEME,glove,5,100,10,0.644972433,0.703980957,0.757461639,0.716065347
190,MORPHEME,fastText,2,50,10,0.723913394,1.025409539,0.757408374,0.909142106
191,MORPHEME,word2vec,10,50,20,0.77636195,0.772800147,0.757172203,1.222095702
192,MORPHEME,glove,10,1000,100,0.589689172,0.984478257,0.756493923,0.708081542
193,MORPHEME,word2vec,2,100,20,0.707631974,0.966685852,0.756492761,1.258291793
194,MORPHEME,word2vec,2,1000,100,0.60575547,1.480073129,0.756199102,0.92060819
195,MORPHEME,fastText,5,50,50,0.748743098,0.769713014,0.755621421,0.805050996
196,MORPHEME,word2vec,5,300,20,0.928046667,0.173017242,0.75549,0.638763486
197,MORPHEME,glove,5,1000,50,0.764232498,0.740710665,0.755332616,0.70224132
198,MORPHEME,fastText,5,100,10,0.791194527,0.777250636,0.755023436,0.798253483
199,MORPHEME,word2vec,5,100,20,0.878893333,0.275721887,0.75499,0.52789873
200,MORPHEME,word2vec,5,50,50,0.750981825,0.781728065,0.754314182,0.642726237
201,MORPHEME,fastText,10,100,100,0.636553545,1.061289961,0.753764857,0.862629044
202,MORPHEME,word2vec,5,50,10,0.745373297,0.740225247,0.753148409,0.729637783
203,MORPHEME,word2vec,2,300,10,0.639774359,1.013992202,0.752728394,0.285426535
204,MORPHEME,glove,7,500,100,0.70820571,0.727833573,0.752655303,0.696625079
205,MORPHEME,word2vec,2,300,10,0.557494115,1.321115562,0.7525326,0.849649396
206,MORPHEME,glove,2,100,10,0.46680723,0.924049996,0.752398255,0.702379242
207,MORPHEME,glove,10,500,100,0.753134157,0.770610714,0.751986977,0.70347995
208,MORPHEME,word2vec,2,1000,50,0.742455153,0.774585092,0.751537521,0.639368119
209,MORPHEME,word2vec,10,1000,100,0.600527228,1.486970386,0.751430604,0.916539054
210,MORPHEME,word2vec,10,300,10,0.599728015,1.344887768,0.751360497,0.96668687
211,MORPHEME,glove,5,500,20,0.901933333,0.4991103,0.75087,0.791580405
212,MORPHEME,word2vec,10,500,50,0.76172997,0.804227393,0.750521692,0.774475136
213,MORPHEME,word2vec,10,50,10,0.641003396,1.184068605,0.750384128,1.035153615
214,MORPHEME,glove,7,300,50,0.509436438,0.973151574,0.750295339,0.690276672
215,MORPHEME,word2vec,7,100,100,0.621997378,1.218700844,0.749738203,0.9917705
216,MORPHEME,glove,5,1000,20,0.921626667,0.503360525,0.74898,0.753689602
217,MORPHEME,word2vec,2,300,20,0.710959671,0.97363787,0.748845149,1.257272635
218,MORPHEME,word2vec,7,300,100,0.572676151,1.314548622,0.748708614,0.900937917
219,MORPHEME,word2vec,2,500,100,0.765950134,0.773193222,0.748238563,0.844514932
220,MORPHEME,glove,10,300,50,0.583888371,0.962826599,0.748165451,0.706397223
221,MORPHEME,word2vec,2,100,10,0.611233914,1.218892569,0.74812547,0.963434334
222,MORPHEME,word2vec,2,300,50,0.631735158,1.01093773,0.748079626,0.332580945
223,MORPHEME,word2vec,7,50,10,0.645226761,1.15726754,0.747630151,0.980403776
224,MORPHEME,word2vec,7,50,100,0.886245453,0.268055887,0.747535269,0.688158401
225,MORPHEME,fastText,5,50,10,0.777633127,0.75833915,0.747343282,0.776827443
226,MORPHEME,fastText,7,100,100,0.640377706,1.044198343,0.746272904,0.888258289
227,MORPHEME,word2vec,10,50,50,0.74547957,0.745871569,0.745586491,0.737655913
228,MORPHEME,word2vec,5,50,100,0.748286882,0.785473344,0.744120828,0.626668148
229,MORPHEME,word2vec,10,300,20,0.762167388,0.761012844,0.743257556,0.839045703
230,MORPHEME,fastText,7,50,100,0.659491398,0.970843342,0.743019487,0.834598733
231,MORPHEME,word2vec,2,50,10,0.615220882,1.13686126,0.7428361,0.91141824
232,MORPHEME,word2vec,10,100,20,0.75452478,0.7609126,0.742581003,0.843428877
233,MORPHEME,word2vec,5,50,20,0.851026667,0.329610221,0.74245,0.550796442
234,MORPHEME,word2vec,7,300,50,0.565268613,1.313541437,0.742240441,0.897326882
235,MORPHEME,word2vec,7,50,20,0.743022624,0.736429305,0.740115469,0.772554685
236,MORPHEME,glove,5,1000,100,0.739666545,0.742177024,0.739394208,0.686697139
237,MORPHEME,word2vec,5,300,100,0.76238036,0.759750906,0.739379156,0.828626305
238,MORPHEME,word2vec,5,300,50,0.744351695,0.781943221,0.73888192,0.757580424
239,MORPHEME,glove,5,500,100,0.88574,0.497006489,0.73864,0.727277001
240,MORPHEME,glove,2,500,50,0.756720155,0.738912086,0.73841045,0.692847313
241,MORPHEME,fastText,2,50,100,0.690198313,1.028231396,0.738389948,1.011172387
242,MORPHEME,fastText,2,100,100,0.694135927,1.110523155,0.738222433,1.063663072
243,MORPHEME,word2vec,2,300,100,0.635903496,1.031120124,0.738114651,0.319480301
244,MORPHEME,word2vec,2,300,20,0.738059122,0.793561188,0.737663008,0.762163038
245,MORPHEME,word2vec,7,100,50,0.619012471,1.221119188,0.73761027,0.995398974
246,MORPHEME,word2vec,2,1000,100,0.741080533,0.785088587,0.737599413,0.624208043
247,MORPHEME,word2vec,7,50,50,0.633492201,1.150372584,0.73755327,0.959780254
248,MORPHEME,glove,7,300,20,0.690391061,0.720268581,0.737011484,0.679711331
249,MORPHEME,word2vec,5,100,100,0.762298306,0.75741342,0.735965457,0.837834698
250,MORPHEME,word2vec,5,100,50,0.747914013,0.786692161,0.735377827,0.759793335
251,MORPHEME,word2vec,5,50,50,0.737115971,0.772964686,0.734946259,0.746165258
252,MORPHEME,word2vec,2,100,20,0.74633319,0.793362032,0.734928275,0.749638742
253,MORPHEME,fastText,10,50,100,0.638819447,0.990618816,0.734345434,0.807603149
254,MORPHEME,glove,7,300,100,0.498511046,0.942748863,0.733898567,0.667350456
255,MORPHEME,glove,2,500,20,0.9154,0.529264831,0.7326,0.802728539
256,MORPHEME,word2vec,2,100,100,0.637845239,1.0365036,0.732020498,0.330888536
257,MORPHEME,glove,2,1000,50,0.569889619,0.96704984,0.731863779,0.678760718
258,MORPHEME,word2vec,10,50,20,0.734181013,0.754332466,0.731577654,0.826779919
259,MORPHEME,glove,10,100,50,0.562615997,0.943208421,0.731565279,0.691665379
260,MORPHEME,glove,10,300,20,0.747340752,0.710623887,0.731434112,0.701982136
261,MORPHEME,word2vec,10,100,100,0.614147008,1.228681322,0.731028651,1.055809507
262,MORPHEME,word2vec,10,50,100,0.740328405,0.7278977,0.730097231,0.72491078
263,MORPHEME,glove,7,100,50,0.497512789,0.954024182,0.729365433,0.667581683
264,MORPHEME,glove,10,300,100,0.554782898,0.948231237,0.728672957,0.677466625
265,MORPHEME,fastText,5,100,100,0.764884888,0.779105081,0.72851137,0.88240396
266,MORPHEME,glove,2,1000,20,0.766055981,0.782053379,0.72716756,0.762927094
267,MORPHEME,word2vec,2,50,50,0.607356107,1.168718911,0.726916534,0.928884386
268,MORPHEME,word2vec,2,300,100,0.574313209,1.32928478,0.726737066,0.935994005
269,MORPHEME,word2vec,10,100,50,0.606593592,1.218794806,0.726623279,1.057240302
270,MORPHEME,word2vec,5,50,100,0.742296651,0.743559605,0.725742136,0.818702309
271,MORPHEME,word2vec,10,300,50,0.57114291,1.327032097,0.725679159,0.943417987
272,MORPHEME,glove,5,300,50,0.737554278,0.722673331,0.725125116,0.675129187
273,MORPHEME,word2vec,10,300,100,0.573794621,1.329033186,0.724944501,0.942429636
274,MORPHEME,glove,7,100,100,0.480743424,0.932013332,0.724759556,0.661638091
275,MORPHEME,word2vec,2,50,20,0.730050345,0.781314682,0.724554314,0.749379834
276,MORPHEME,word2vec,10,50,50,0.626763686,1.166188952,0.72422679,1.019907169
277,MORPHEME,word2vec,7,50,100,0.625555034,1.130157159,0.724179503,0.954938904
278,MORPHEME,glove,2,1000,100,0.551582992,0.961057312,0.72400452,0.666696974
279,MORPHEME,glove,2,300,50,0.562879413,0.947669966,0.723711039,0.657602055
280,MORPHEME,glove,2,500,100,0.721945416,0.73065511,0.722786153,0.675112037
281,MORPHEME,fastText,5,50,100,0.745137704,0.762453418,0.721648183,0.88092989
282,MORPHEME,glove,5,300,20,0.830343333,0.507473006,0.7214,0.705268368
283,MORPHEME,glove,10,100,20,0.735982437,0.689749028,0.719869263,0.681013444
284,MORPHEME,word2vec,10,50,100,0.605413061,1.159423528,0.717991416,1.010167548
285,MORPHEME,word2vec,2,300,50,0.555409241,1.344291365,0.717603524,0.852263819
286,MORPHEME,word2vec,2,100,100,0.619071964,1.225935606,0.717334815,1.044467714
287,MORPHEME,word2vec,2,100,50,0.60172698,1.253360082,0.717091289,0.9645274
288,MORPHEME,glove,10,100,100,0.55318313,0.929171915,0.71431245,0.673998144
289,MORPHEME,glove,7,100,20,0.659533079,0.696126218,0.712691078,0.654787525
290,MORPHEME,glove,2,300,20,0.737588583,0.753078333,0.711782871,0.737060687
291,MORPHEME,glove,5,100,50,0.71301267,0.696405927,0.709649834,0.65740791
292,MORPHEME,glove,2,300,100,0.539779243,0.947864385,0.707993463,0.642327978
293,MORPHEME,glove,5,300,100,0.704136752,0.7206262,0.706354345,0.660494919
294,MORPHEME,word2vec,2,50,100,0.624592313,1.136624749,0.703149704,1.002252062
295,MORPHEME,word2vec,2,50,10,0.589401388,0.956407561,0.702624513,0.236452711
296,SYLLABLE,fastText,10,1000,20,0.882493333,0.448072507,0.70239,0.736013783
297,MORPHEME,glove,5,100,20,0.819356667,0.540575999,0.69949,0.892255706
298,SYLLABLE,fastText,10,1000,10,0.683407559,0.694835978,0.699067559,0.741037746
299,SYLLABLE,fastText,5,1000,20,0.882173333,0.453196407,0.69858,0.810069111
300,MORPHEME,word2vec,2,50,20,0.652347589,0.913736048,0.695432747,1.191531529
301,MORPHEME,glove,5,100,100,0.685575513,0.699337499,0.695189043,0.637659713
302,MORPHEME,word2vec,2,50,50,0.584877412,0.962264124,0.694978328,0.277214137
303,SYLLABLE,fastText,7,1000,20,0.883846667,0.452152108,0.69414,0.692480268
304,SYLLABLE,fastText,5,1000,10,0.685223491,0.693115643,0.689360986,0.80913434
305,SYLLABLE,fastText,7,1000,10,0.855233333,0.44294907,0.68913,0.681494934
306,MORPHEME,glove,2,100,50,0.537714301,0.920404537,0.688289556,0.640591614
307,MORPHEME,glove,2,100,20,0.722188213,0.734272183,0.685408943,0.711117608
308,MORPHEME,glove,7,50,10,0.437227096,0.896171245,0.6796262,0.611895774
309,MORPHEME,glove,2,100,100,0.506230039,0.924124715,0.679013362,0.617009671
310,MORPHEME,word2vec,2,50,100,0.583234237,0.96950616,0.67892535,0.272340738
311,SYLLABLE,fastText,10,300,10,0.664406274,0.675081936,0.678745953,0.599597631
312,SYLLABLE,fastText,10,300,20,0.668590386,0.66370983,0.677209968,0.586212086
313,SYLLABLE,fastText,10,500,10,0.663776124,0.669583789,0.675644231,0.600915715
314,SYLLABLE,fastText,7,500,10,0.841059897,0.426885124,0.674175384,0.543141265
315,SYLLABLE,fastText,10,500,20,0.664038052,0.667888359,0.671730304,0.598706774
316,SYLLABLE,fastText,2,1000,20,0.869453333,0.459628531,0.67163,0.73764281
317,SYLLABLE,fastText,10,100,10,0.655316389,0.660695544,0.670587669,0.599660725
318,SYLLABLE,fastText,10,100,20,0.65845907,0.656879695,0.670478469,0.592041431
319,SYLLABLE,fastText,5,500,10,0.63773901,0.657574126,0.670478224,0.66185417
